,user,date,items
0,49723,2020-09-18T20:11:04+05:30,"[23395, 23396]"
1,31336,2020-09-18T20:08:30+05:30,[20976]
2,49721,2020-09-18T20:02:20+05:30,"[19860, 19853, 19861]"
3,29987,2020-09-18T20:00:11+05:30,[20976]
4,49722,2020-09-18T19:59:44+05:30,"[22136, 22133, 22134]"
5,1432,2020-09-18T19:59:10+05:30,[20976]
6,1432,2020-09-17T20:26:27+05:30,[20976]
7,2234,2020-09-18T19:51:41+05:30,[20976]
8,2234,2020-09-17T20:23:47+05:30,[20976]
9,49719,2020-09-18T19:47:14+05:30,"[21960, 21958, 21959]"
10,362,2020-09-18T19:46:01+05:30,"[22089, 21942, 22087]"
11,1878,2020-09-18T19:31:57+05:30,[21269]
12,49715,2020-09-18T19:07:58+05:30,"[21682, 21787, 21788, 21678]"
13,1750,2020-09-18T19:02:25+05:30,"[22849, 22850, 22852, 22853, 22854, 22809, 22856, 22855, 22836, 22837, 22838, 22839, 22840, 22841, 22842, 22843, 22845, 22846]"
14,38138,2020-09-18T18:40:43+05:30,[19376]
15,38138,2020-08-20T17:22:57+05:30,"[22113, 22114, 22115, 22118, 22214, 22215, 22216, 22217, 22218, 22284, 22219, 22220, 22221, 22222, 22223, 22224]"
16,38138,2020-08-19T19:21:40+05:30,[22114]
17,38138,2020-08-19T16:49:50+05:30,[22115]
18,45422,2020-09-18T18:32:51+05:30,"[21315, 19627, 22362]"
19,15155,2020-09-18T18:30:19+05:30,"[22208, 22384]"
20,2749,2020-09-18T18:25:01+05:30,[22221]
21,35339,2020-09-18T18:16:10+05:30,"[22208, 22384, 22206]"
22,45948,2020-09-18T18:10:54+05:30,"[21682, 21683]"
23,49711,2020-09-18T17:56:10+05:30,"[21662, 21663]"
24,49709,2020-09-18T17:31:55+05:30,[17803]
25,46656,2020-09-18T16:50:08+05:30,"[22695, 21682, 21788, 21943]"
26,47907,2020-09-18T16:43:12+05:30,"[22859, 21424, 21425, 21426, 21499, 21500, 21502, 21503]"
27,44693,2020-09-18T16:27:10+05:30,[22206]
28,43239,2020-09-18T16:20:23+05:30,[21992]
29,31286,2020-09-18T16:17:03+05:30,[21663]
30,42387,2020-09-18T16:12:12+05:30,"[20129, 20130, 22502, 19625, 22225]"
31,49706,2020-09-18T16:08:38+05:30,"[22211, 22629]"
32,381,2020-09-18T15:52:40+05:30,[19497]
33,49699,2020-09-18T15:42:19+05:30,"[19747, 19847, 19849, 19630, 19631, 19633, 23090, 21238]"
34,43426,2020-09-18T15:32:41+05:30,"[19619, 19624, 19849, 19497, 19818, 19631, 19825]"
35,1281,2020-09-18T15:22:33+05:30,"[20133, 19621, 21991, 19817, 19631]"
36,473,2020-09-18T15:08:18+05:30,"[19825, 19818, 19868, 19850]"
37,38721,2020-09-18T14:24:23+05:30,[21262]
38,46056,2020-09-18T14:17:13+05:30,"[21682, 21683, 21788]"
39,49695,2020-09-18T13:48:22+05:30,"[22858, 22859, 21424, 21425, 21426]"
40,13974,2020-09-18T13:46:43+05:30,"[19817, 22289, 22290, 19825, 20119]"
41,14774,2020-09-18T13:40:25+05:30,"[21252, 21302]"
42,4577,2020-09-18T13:33:59+05:30,[21263]
43,39627,2020-09-18T13:30:24+05:30,[21262]
44,49691,2020-09-18T13:02:52+05:30,"[21473, 21499, 22858, 22859, 21498, 21467, 21500]"
45,37480,2020-09-18T12:44:33+05:30,"[21212, 20127]"
46,49687,2020-09-18T12:21:53+05:30,"[22849, 22851, 22837, 22839, 22846]"
47,1444,2020-09-18T12:18:48+05:30,"[19376, 19390]"
48,1444,2020-08-24T18:07:26+05:30,[22499]
49,47797,2020-09-18T12:11:52+05:30,"[19555, 19847, 19624, 19849, 19851, 19825]"
50,6285,2020-09-18T12:09:27+05:30,[21263]
51,41307,2020-09-18T11:42:02+05:30,"[21251, 21262]"
52,45671,2020-09-18T11:37:40+05:30,[21263]
53,43581,2020-09-18T11:25:29+05:30,[21251]
54,48569,2020-09-18T11:21:00+05:30,[21264]
55,42211,2020-09-18T11:17:14+05:30,[21253]
